scenario,daily_energy_kwh,annual_energy_kwh,shading_loss_kwh,energy_per_m2_kwh,energy_per_panel_kwh,total_area_m2,panel_count
Convencional,16.84707222349433,6149.18136157543,1.3779578463342295,0.3867555606862793,0.9359484568607961,43.56000000000001,18.0
Bioinspirado,17.33063522169828,6325.681855919872,1.160901874230468,0.40903698384158443,0.9628130678721267,42.369360000000015,18.0
Bioinspirado optimizado,20.20612021456541,7375.233878316374,1.8700110905070193,0.4146991910430886,1.1225622341425228,48.72476400000001,18.0
