scenario_x,panel_id,energy_kwh,shading_loss_kwh,x,y,z,width,height,azimuth,tilt,level,scenario_y,area
Bioinspirado optimizado,bio_1,1.0615344392146489,0.11546190496161263,0.0,0.0,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
Bioinspirado optimizado,bio_10,1.036522567843246,0.1404737763330155,7.267499999999999,0.13702939634288405,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
Bioinspirado optimizado,bio_11,1.1584596330623933,0.16072349713467693,8.721,3.096612980629284,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
Bioinspirado optimizado,bio_12,1.0736589487266135,0.10951679441212508,10.174499999999998,6.22250325632189,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
Bioinspirado optimizado,bio_13,1.0402865171414437,0.13670982703481785,9.69,-0.1784104952351446,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
Bioinspirado optimizado,bio_14,1.1419680404694084,0.1772150897276621,11.4855,3.4172055397448573,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
Bioinspirado optimizado,bio_15,1.1551030720304263,0.02807267110831213,13.280999999999999,6.884376945768543,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
Bioinspirado optimizado,bio_16,1.1545070633130976,0.02248928086316384,12.112499999999999,0.21622070685224132,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
Bioinspirado optimizado,bio_17,1.2893059676064742,0.02987716259059616,14.25,3.181772147208865,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
Bioinspirado optimizado,bio_18,1.1567094578143062,0.026466285324432327,16.387499999999996,6.235335333950046,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
Bioinspirado optimizado,bio_2,1.1593190804569353,0.1598640497401349,0.4275,3.557289102448625,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
Bioinspirado optimizado,bio_3,1.1613185800707226,0.0218571630680158,0.855,6.857341394419538,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
Bioinspirado optimizado,bio_4,1.042980882246067,0.13401546193019448,2.4225,0.04692240267990585,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
Bioinspirado optimizado,bio_5,1.1669138765247307,0.15226925367233962,3.192,3.0258631703101138,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
Bioinspirado optimizado,bio_6,1.0734580842157089,0.10971765892302957,3.9614999999999996,6.236157678674506,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
Bioinspirado optimizado,bio_7,1.0432997921963711,0.13369655197989044,4.845,-0.09290565315114284,0.0,1.0120000000000002,2.3276000000000003,48.0,78.0,0,Bioinspirado optimizado,2.355531200000001
Bioinspirado optimizado,bio_8,1.1356257283196998,0.1835574018773705,5.9565,3.495948044073997,1.3915000000000002,1.0670000000000002,2.53,83.0,82.0,1,Bioinspirado optimizado,2.69951
Bioinspirado optimizado,bio_9,1.155148483313109,0.028027259825629647,7.068,6.883961617002274,2.7830000000000004,1.122,2.7324,118.0,86.0,2,Bioinspirado optimizado,3.0657528000000003
