scenario,hour,solar_elevation_deg,solar_azimuth_deg,dni,dhi,energy_kwh,shading_loss_kwh
Bioinspirado,6.0,7.607054273867325,67.7521609746175,81.0155979447874,22.412449393276145,0.25560153870866553,0.399106131791083
Bioinspirado,7.0,20.873059434900977,71.51199943342299,218.0548016435554,36.769508807996374,1.278125536154912,0.4142502245234182
Bioinspirado,8.0,34.3994558271199,74.34228343198038,345.7550100782443,46.30087964555104,2.427485199777458,0.1218071767731393
Bioinspirado,9.0,48.08528244081598,76.18761221615944,455.4136650786025,53.13834572023705,3.0146765510752145,0.0
Bioinspirado,10.0,61.839648655303606,76.39822464121113,539.5577105258513,57.8394231134754,2.9629738880512333,0.0
Bioinspirado,11.0,75.48001389726356,71.27193074405662,592.4528687773704,60.60827234015661,2.396085459834822,0.0
Bioinspirado,12.0,85.98021715318639,0.0,610.4944222117012,61.524182433393136,1.445803174157734,0.0
Bioinspirado,13.0,75.48001389726356,288.7280692559434,592.4528687773704,60.60827234015661,0.8910411874441243,0.0
Bioinspirado,14.0,61.839648655303606,283.60177535878887,539.5577105258513,57.8394231134754,0.845063858434986,0.0
Bioinspirado,15.0,48.08528244081598,283.81238778384056,455.4136650786025,53.13834572023705,0.776763490667739,0.0
Bioinspirado,16.0,34.3994558271199,285.6577165680196,345.7550100782443,46.30087964555104,0.6039891410646309,0.027060035120520888
Bioinspirado,17.0,20.873059434900977,288.488000566577,218.0548016435554,36.769508807996374,0.3341085858600793,0.09704894210266785
Bioinspirado,18.0,7.607054273867325,292.2478390253825,81.0155979447874,22.412449393276145,0.09891761046668247,0.10162936391963864
