scenario_x,panel_id,energy_kwh,shading_loss_kwh,x,y,z,width,height,azimuth,tilt,level,scenario_y,area
Bioinspirado,bio_1,0.9701004441306107,0.08569358913536813,0.0,0.0,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
Bioinspirado,bio_10,0.9576008478295894,0.09819318543638947,7.6499999999999995,0.1442414698346148,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
Bioinspirado,bio_11,1.014772702154605,0.10039261868094788,9.18,3.25959261118872,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
Bioinspirado,bio_12,0.8544235383432816,0.05653995687664481,10.709999999999999,6.550003427707253,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
Bioinspirado,bio_13,0.9714458983092192,0.08434813495675966,10.2,-0.1878005213001522,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
Bioinspirado,bio_14,1.006972704568161,0.10819261626739195,12.09,3.597058462889324,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
Bioinspirado,bio_15,0.9071469410827983,0.003816554137128121,13.979999999999999,7.246712574493204,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
Bioinspirado,bio_16,1.0383195864925823,0.017474446773396574,12.75,0.22760074405499087,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
Bioinspirado,bio_17,1.0935767891625856,0.02158853167296724,15.0,3.3492338391672267,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
Bioinspirado,bio_18,0.8948538083279616,0.01610968689196475,17.249999999999996,6.5635108778421545,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
Bioinspirado,bio_2,1.015556611442888,0.09960870939266478,0.45,3.7445148446827634,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
Bioinspirado,bio_3,0.9079793253683283,0.0029841698515981063,0.9,7.218254099388988,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
Bioinspirado,bio_4,0.956477504835603,0.09931652843037594,2.55,0.049392002820953525,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
Bioinspirado,bio_5,1.0164595732282287,0.09870574760732416,3.3600000000000003,3.185119126642225,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
Bioinspirado,bio_6,0.8542351338394362,0.05672836138049018,4.17,6.564376503867901,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
Bioinspirado,bio_7,0.9568336638959438,0.09896036937003505,5.1,-0.09779542436962405,0.0,1.0120000000000002,2.0240000000000005,60.0,78.0,0,Bioinspirado,2.0482880000000008
Bioinspirado,bio_8,1.006696937602152,0.10846838323340073,6.2700000000000005,3.679945309551576,1.2100000000000002,1.0670000000000002,2.2,95.0,82.0,1,Bioinspirado,2.3474000000000004
Bioinspirado,bio_9,0.9071832110843059,0.003780284135620482,7.4399999999999995,7.2462753863181835,2.4200000000000004,1.122,2.3760000000000003,130.0,86.0,2,Bioinspirado,2.6658720000000007
